file,category,pde_subcategories,sde_subcategories,sensor_subcategories,equation_excerpts
A_SIFT-Based_Forest_Fire_Detection_Framework_Using_Static_Images.pdf,PDE-only,objective function,None,None,"$31.00  2018 ieee robustness. the experimental results show a high accuracy of 97% and low false alarm rates (less than 1 in 1000 frames). moreover, majumdar and ward [17] proposed a sift-based face recognition method and their experimental results show that their method is robust to head movements, illumination changesandpartialocclusionandchangesinfaceexpressions. however, even though sift has been wildly and successfully used for object detection and recognition and many different applications such as face recognition, face detection, object tracking, action recognition and etc. [18] [20], it has never beenutilisedintheapplicationoffiredetectionandtheability of sift features for detecting fire have not been studied. therefore, the aim of the research described in this paper is to propose a sift-based fire detection framework. this paperprovidesthreemajorcontributions:proposalforasift- based forest fire detection framework, comparison between two classifies and thirdly comparison between the proposed frameworkandanimageprocessingbasedforestfiredetection fig.1. theschematicframeworkforvideoimagefiredetection method.thepaperproceedsasfollows:sectioniicontainsde- scriptionsofthemethodandhowtheframeworkisestablished, sectioniiiidentifiestheresultsoftheproposedframeworkand regions called keypoints and extracts discriminative descrip- comparisonsareanalysedandfinally,insectionivconclusion tors of their appearance called descriptors. the sift feature is discussed. extraction algorithm is done in four stages, 1) scale-space ii. method extremadetectionwhichmainlyaimstoidentifythelocations and define scales that are identifiable for an object when it is unlike other fire detection methods, this framework is not seen from different points of view, 2) keypoint localization designedtodetectfirethroughfirefeatures.ithasbeenshown in which points that have low contrast or are poorly localized that focusing on fire features often reduces the stability and on an edge will be eliminated from the list of keypoints, reliability of a fire detection system as fire features are easily 3) orientation assignment which assigns orientation to each confused with natural phenomena [21]. therefore, instead of keypoint based on local or spatial image properties and 4) lookingforfirefeaturesinimagesbasedoncolourandmotion, keypointdescriptorwherethedataobtainedfromtheprevious thisstudyaimstotrainaprogramwithsetsoffireandnon-fire step is used to create keypoint descriptors. the gradient images from the forest and learn the program by introducing information is rotated to line up with the orientation of the a feature vector based on similarities between features of the keypoint. then it is weighted by gaussian with variance of data. the method includes: (1.5) (keypoint scale) this data is used to create histograms   framework construction and implementation in matlab overawindowcenteredonthekeypoint.keypointdescriptors   data collection uses16histogramsalignedin4x4grid,eachwith8orientation   training the model bins, overall feature vector is then 16x8=128 elements. the   testing the model resulting vectors are the sift descriptors.   performance analysis of the model once the features of the data are extracted from each a. framework construction and implementation in matlab image as explained in four stages of sift feature extraction the framework developed in the current study for fire algorithm, they are ready to go through clustering as follows. detection is schematically illustrated in figure 1. the frame- 3) clustering: forobjectclassdetectionaswellasrecog- work contains four components: 1) image pre-processing nition, many methods use clustering as an intermediate level component, 2) feature extraction component, 3) clustering of representation [23]. cluster analysis is the formal study of component and finally 4) classification component. each of methods and algorithms for grouping, or clustering objects, these components is described in the following. according to measures or similarity. cluster analysis does not 1) imagepre-processing: onceaninputimageisprovided use category labels that tag objects with prior identifiers, i.e. to the model, it initialises a preprocessing procedure to resize classlabels.theabsenceofcategoryinformationdistinguishes the image and convert it into greyscale to make them ready data clustering (unsupervised learning) from classification or for the sift algorithm [5], [22]. discriminant analysis (supervised learning). the aim of clus- 2) feature extraction: the scale invariant feature trans- tering is to find structure in data and is therefore exploratory form (sift) was originally introduced by david lowe [15]. in nature. clustering has a long and rich history in a variety sift features are the most popular features used in computer of scientific fields [24]. k-means clustering is a partitional vision. the sift extraction algorithm detects salient image clustering which is a widely used algorithm in sift features authorized licensed use limited to: dalhousie university. downloaded on december 28,2024 at 15:44:28 utc from ieee xplore. restrictions apply. 978-1-5386-5602-0/18/$, $31.00  2018 ieee fig.5. supportvectormachinerepresentation ktrainingsamples,whicharethenearestneighbourstothetest sample, and classifies it to the category that has the largest category probability. in this paper, the euclidean distance method was selected because it is often used as the distance metric. the k-value is a user defined constant number of neighbourgroupelementsandanunlabeledvectorisclassified byassigningthelabelthatoccursmostfrequentlyamongthek trainingsamplesnearestthatquerypoint.knearestneighbour function can be graphically represented as shown in figure 6 and according to the label of the k neighbours and the distributions of the similarity value, the class of the input vectorxwasdiscriminated.knearestneighbourfunctioncan begraphicallyrepresentedasshowninfigure6anditisclear at k =3, the testing data would be classified as class a while at k = 7 it is classified as class b, and similarly at k = 17, fig.7. frameworkprocessrepresentation it would belong to class a and hence value of k should be wisely chosen to obtain expected result. the framework datasetconsists of a set ofimages for training the classifier and a set of images to test its performance. training dataset is made of 200 forest fire images and 200 images of forests without fire. in addition, our two testing datasets compromised of 200 forest fire images and 200 images of forest without fire. the non-fire images contained images without fire, but with fire-like regions such as sunrise and sunset in the forest. c. training the model the training stage includes extracting sift features from the total data and clustering them using k-means clustering fig.6. knearestneighbourrepresentation andnumberofdetectedfeaturesforeachimageinsiftis220 and represented in 128 dimensions. then the comprehensive the algorithm of this framework was implemented using sets of features are clustered using k-means clustering. the matlab. for the sift algorithm implementation we have final results and performance of the algorithm are highly adopted the vlfeat library [22]. vlfeat is a portable open dependent on the number of clusters in k- means and thus sourcelibraryusedmainlyincomputervisionalgorithms.fig- while performing k-means, it is important to run the program ure 7 represents framework implementation procedure graph- several times with different values of k, to determine the ically. appropriate number of clusters in the dataset. b. data collection ink-meansclustering,thereisnospecificruletodetermine a set of fire and non-fire images have been obtained from whatvalueofkwouldsuitourmodelmost.inaddition,based the publicly available photo sharing website flickr.com. [27]. onthetrainingsetofimageswecandetermineforwhatvalue authorized licensed use limited to: dalhousie university. downloaded on december 28,2024 at 15:44:28 utc from ieee xplore. restrictions apply. 978-1-5386-5602-0/18/$, is maximum at k = 12 and for knn at k, = 17, k of knn = 3, $31.00  2018 ieee its sensitivity and accuracy, it is clear that knn wasn't able to classify fire and non-fire images properly and it simply classified most of the images as fire. furthermore, in terms of accuracy, it is shown in that the highest rate for accuracy was obtained by svm at k=12 at the rate of 94.7%. c. experimental results for comparing the proposed frame- work with vipin's method vipin proposed a colour image-based fire detection method usingrgbandycbcrcolourspace[29].colour-basedmeth- ods as mentioned in the literature, using the colour feature of the flame can detect fire in the images easily, however, these methods suffer from a high rate of false alarms as fire-like coloured objects can easily get misclassified. tableiv vipin'smethodresult fig. 9. examples of misclassified images by the algo- predicted rithm. fire nofire fire 198 2 actual tableiii nofire 28 172 sensitivity,accuracyandspecificityresultforknn andsvm sensitivity accuracy specificity the results of vipin's method using a set of forest images k-means svm knn svm knn svm knn including 200 images consisting of fire and 200 images with- k=2 44.68% 53.93% 46.7% 60.5% 53.33% 77.14% k=3 52.00% 87.50% 56.5% 83.9% 59.46% 81.58% out fire which were obtained from the photo sharing website k=4 45.16% 81.82% 45.2% 77.4% nan 75.00% flickr.com are shown in table iv. comparing this table with k=5 45.16% 85.00% 45.2% 77.4% nan 73.81% table i, it is clear that even though vipin's method performs k=6 45.16% 88.89% 45.2% 83.1% nan 79.75% k=7 97.78% 100.00% 89.5% 85.5% 84.81% 79.07% slightly better than the current proposed framework in terms k=8 97.78% 95.45% 89.5% 87.1% 84.81% 82.50% of sensitivity and can detect fire in the images at a greater k=9 95.65% 97.67% 88.7% 87.9% 84.62% 82.72% k=10 45.16% 95.00% 45.2% 83.9% nan 78.57% rate, it suffers from a high false alarm rate. in addition, the k=11 94.34% 95.65% 92.7% 88.7% 91.55% 84.62% lower false alarms and compatible true positive rates of the k=12 98.04% 93.02% 94.7% 84.7% 91.78% 80.25% proposedframeworkrepresentabetteraccuracyandtherefore, k=13 93.33% 93.88% 86.3% 89.5% 82.28% 86.67% k=14 95.45% 95.45% 87.1% 87.1% 82.50% 82.50% abetterperformance.itisnecessarytomentionthattheauthor k=15 96.00% 92.31% 91.9% 81.5% 89.19% 76.47% could not access the exact dataset that was used by vipin to k=16 95.65% 97.44% 88.7% 84.7% 84.62% 78.82% k=17 88.89% 100.00% 88.7% 90.3% 88.57% 85.00% evaluate his method and eventhough the images used in this k=18 97.87% 100.00% 91.1% 88.7% 87.01% 82.93% paper were collected from the same website and included the k=19 86.67% 100.00% 90.3% 88.7% 93.75% 82.93% images provided in vipin's paper, the final result might differ. k=20 93.88% 100.00% 89.5% 88.7% 86.67% 82.93% iv. conclusion detected non-fire images as fire images (e.g at k = 7 fire in this paper, we proposed a novel framework for fire images have been detected at 100% while simply many non- detection in static images using sift feature descriptors in fire images were detected as containing fire. i.e. fire feature conjunction with a number of clustering and classification havenotbeenfullyidentifiedfortheclassifier;however,atk = algorithms. this framework can be used for both indoor built 13,eventhoughsensitivityislessthaninthepreviouscase,the environments and outdoor regions such as forests and bush- number of false alarm has reduced as well. (i.e. classifier has lands.thedevelopmentofthecomputerizedmodelconsistsof been able to identify fire from non-fire features).in addition, three major stages: firstly implementation in matlab, secondly bycomparingsensitivityandspecificityofsvmandknn,we trainingandthirdlytesting.experimentalresultsshowthatthe are able to conclude that svm has performed better. it can be proposed approach performs well in terms of fire detection seenthatsensitivityandspecificityofsvmatdifferentvalues accuracy and precision, providing a low false positive rate in ofkareverycloseandsimilarwhichmeanstheclassifierwas open and large spaces. comparing knn and svm classifiers, able to determine the difference between these two classes and by observing the significant difference between their and even though in some cases it didn't perform well, it is results, it is evident that svm has a better performance in morereliable.ontheotherhand,eventhoughtheaccuracyof terms of sensitivity and specificity as well as accuracy and knn for different ks was very similar and stable, comparing precision. however, this framework's lack of self-learning as authorized licensed use limited to: dalhousie university. downloaded on december 28,2024 at 15:44:28 utc from ieee xplore. restrictions apply. 978-1-5386-5602-0/18/$"
Optimal_Deployment_of_Mobile_Sensors_Nodes_using_Signal_Strength_Equalization.pdf,Neither,None,None,None,None
A_Preliminary_Prototype_of_LoRa-Based_Wireless_Sensor_Network_for_Forest_Fire_Monitoring.pdf,Sensors,None,None,"signal processing, fusion, data transmission",None
All-weather_automatic_solar_tracking_method_applied_in_forest_fire_prevention.pdf,SDE-only,None,control system,None,None
ECOGUARD_Forest_Fire_Detection_System_using_Deep_Learning_Improved_with_Elastic_Weight_Consolidation.pdf,SDE-only,None,"predictive model, optimization technique",fusion,None
Robot-based_forest_fire_detection_and_extinguishing_model.pdf,SDE-only,None,control system,None,None
A_Deep_Learning_Method_based_on_SRN-YOLO_for_Forest_Fire_Detection.pdf,Neither,None,None,None,None
Sensitivity_of_X-_C-_and_L-Band_SAR_Backscatter_to_Burn_Severity_in_Mediterranean_Pine_Forests.pdf,Sensors,None,None,spatial resolution,None
IoT_based_Forest_Fire_Prediction_Framework.pdf,Neither,None,None,None,None
Fire_monitoring_system_based_on_Open_Map_API.pdf,Sensors,None,None,fusion,None
Adaptive_Path_Planning_in_Three-Dimensional_Wireless_Sensor_Networks_for_Micro_Aerial_Vehicle_-_Assisted_Localization.pdf,Neither,None,None,None,None
3630590.3630602.pdf,Neither,None,None,None,None
Forest_Fire_Detection_using_Machine_Learning.pdf,Sensors,None,None,fusion,None
WF11168.pdf,Sensors,None,None,"energy efficiency, spatial resolution",None
Low-Power_Distributed_Sensor_Network_for_Wildfire_Detection.pdf,Sensors,None,None,"signal processing, data transmission",None
