"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Forest Fire Detection and Temperature Monitoring Alert using IoT and Machine Learning Algorithm","V. Venkataramanan; G. Kavitha; M. R. Joel; J. Lenin","Department of Electronics and Communication Engineering, D.J Sanghvi College of Engineering, Mumbai, Maharashtra, India; Department of Computer Science and Engineering, Muthayammal Engineering College (Autonomous), Namakkal, Tamil Nadu, India; Department of Information Technology, Kings Engineering College, Chennai, Tamil Nadu, India; Department of Information Technology, Al Musanna College of Technology, Muladdah, Muscat, Sultanate of Oman",2023 5th International Conference on Smart Systems and Inventive Technology (ICSSIT),"14 Mar 2023","2023","","","1150","1156","Forest fires are a prevalent hazard in forests that significantly damage wildlife and the environment. It may be averted if a comprehensive system is installed in forest regions to detect fires and inform firefighting authorities to take timely action. The goal of this project is to create an Internet of Things (IoT)-based real-time detection system that detects fires and sends emergency notices to authorities. A GSM/GPRS module interacts with an IoT server because network bandwidth is typically very poor or nonexistent in forest regions. As a result, a 2G network is ideal for communicating with the server. A real-time fire monitoring system that differentiates fire and smoke is used to identify an actual fire occurrence. The nano-based Atmega328 IoT gateway identifies the forest’s fire as soon as possible and acts rapidly before it spreads across a large area. Here, this uses machine learning algorithms to detect the event of a fire in a large region. The system uses a flame sensor to detect the flame and a temperature sensor to measure the temperature in a particular area. By using the machine learning method, the system can easily give the result with actual detection and intimate the authority about the temperature condition. The data are then sent to the cloud-based application. In the event of an unusual rise in forest temperature, this will alert the forest authorities and sound the fire alarm. It can also predict future fires by using machine learning. This is accomplished using the fog computing method. Due of the sensors’ efficiency, this might potentially be applied in industrial settings. Any type of forest can make use of it. From this experiment, this research study deduced that it has a remarkable accuracy of 98% in predicting forest fires. As a result, the possibility of a false alarm is significantly decreased.","2832-3017","978-1-6654-7467-2","10.1109/ICSSIT55814.2023.10061086","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10061086","Fire detection;Temperature Monitoring;GPRS Module;Machine learning algorithm;Data Analytics;IoT","Temperature sensors;Temperature measurement;Machine learning algorithms;Fires;Forestry;Machine learning;Real-time systems","","6","","15","IEEE","14 Mar 2023","","","IEEE","IEEE Conferences"
"Performance on SK-Coverage in WSN of the Forest Detection","X. Guizhou; Z. Lei; H. Yi-hua","Shanghai Institute of Technical Physics, Chinese Academy and Sciences, Shanghai, China; Shanghai Institute of Technical Physics, Chinese Academy and Sciences, Shanghai, China; Shanghai Institute of Technical Physics, Chinese Academy and Sciences, Shanghai, China",2010 Third International Symposium on Information Science and Engineering,"11 Jul 2011","2010","","","275","278","K-coverage algorithm is widely used in wireless sensor networks (WSN) of the forest fire detection and monitoring system. However, the sensing ability of a sensor node is non-uniform in all directions in shadowed environments. So, the optimized algorithm (SK-coverage) should be well proposed in this paper. The reliability of the collected data and the network lifetime are paid close attention to by the algorithm. The simulation result shows that the algorithm can supply the network with higher reliable collected data all long and low whole network energy consumption, compared with the former k-coverage algorithms, which do not consider the shadowed factors for the sensor nodes.","2160-1291","978-1-61284-428-2","10.1109/ISISE.2010.57","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5945102","forest fire;wireless sensor networks;shadowed envirionment","Sensors;Wireless sensor networks;Clustering algorithms;Fires;Energy consumption;Monitoring;Algorithm design and analysis","","","","8","IEEE","11 Jul 2011","","","IEEE","IEEE Conferences"
"Forest Fire Detection Based on Light-Weight Deep Neural Networks","S. Palanisamy; D. Easwaran","Dept. of Information Technology, Kumaraguru College of Technology, Coimbatore; Dept. of Information Technology, Kumaraguru College of Technology, Coimbatore","2023 2nd International Conference on Advancements in Electrical, Electronics, Communication, Computing and Automation (ICAECA)","7 Aug 2023","2023","","","1","6","Fire outbreaks are a common occurrence and the damages triggered by these events are significant to both nature and humans. Vision-centered fire detection systems have just lately acquired appeal as compared with conventional sensor-based fire discovery system. The complex and multifaceted nature of forest fires provide both benefits and risks to natural ecosystems and human communities. Forest fires can result in severe harm to the biological and environmental aspects of forest ecosystems, as well as create substantial hazards to human well-being and safety. Effective forest management strategies are necessary to balance these potential benefits and risks, ensuring the long-term sustainability and resilience of forest ecosystems. Automated recognition of Forest fire disasters is therefore an essential area to research in order to reduce catastrophes. Very early fire discovery can likewise assistance decision-makers strategy reduction techniques and snuffing out strategies. This study takes a look at fire/smoke discovery from pictures utilizing AI-based computer system vision methods. Nevertheless, the discovery procedure by picture refining method is really precise however computational effectiveness is bad because of its complicated design. By suggesting a fire discovery formula utilizing ShuffleNet style centered Convolutional Neural Networks, high-accuracy fire picture discovery is accomplished, which works in discovery of fire by smaller sized gadgets like mobiles and drones.","","979-8-3503-0681-1","10.1109/ICAECA56562.2023.10201047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10201047","CNN;ShuffleNet;Mobile and Drones","Computational modeling;Biological system modeling;Ecosystems;Estimation;Forestry;Real-time systems;Telecommunication computing","","","","16","IEEE","7 Aug 2023","","","IEEE","IEEE Conferences"
"Energy Efficient and Accurate Tracking and Detection of Continuous Objects in Wireless Sensor Networks","T. Rahman; Z. Zhou; H. Ning","School of Computer Science and Communication Engineering, University of Science and Technology, Beijing, China; School of Information Engineering, China University of Geosciences, Beijing, China; School of Computer Science and Communication Engineering, University of Science and Technology, Beijing, China",2018 IEEE International Conference on Smart Internet of Things (SmartIoT),"16 Sep 2018","2018","","","210","215","Continuous objects such as mud flow, oil spill, forest fire and toxic gases detection and localization is a fundamental and significant subject in Wireless sensor networks (WSNs). A continuous object is usually blowout over a large area and therefore a large number of sensor nodes are required for tracking and detection. The nodes exchange control messages with each other and with sink node to report their detection status. For accurate tracking and detection nodes at the phenomenon boundary needs to be carefully selected. In this paper, we use four proximity graphs and different spatial interpolation methods for accurate boundary estimation and boundary nodes selection in a dense duty-cycled wireless sensor network. Accurate and reliable nodes are carefully chosen to be awakened when their sensual data is more applicable and consistent to be boundary node. To reduce overall network energy consumption and increase system lifetime, we propose sensor node scheduling scheme. Extensive simulation result shows that the proposed continuous objects detection and tracking technique is more energy efficient and the boundary area can be enhanced more accurately.","","978-1-5386-8543-3","10.1109/SmartIoT.2018.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8465551","Boundary detection, Continuous object, Spatial interpolation methods, Wireless sensor network","Wireless sensor networks;Planarization;Clustering algorithms;Interpolation;Energy consumption;Monitoring;Object detection","","8","","14","IEEE","16 Sep 2018","","","IEEE","IEEE Conferences"
"Simulation research on control system and ballistic of a remote forest fire fighting cannon","Yonggang Pang; Shaogang Liu","College of Mechanical and electrical Engineering, Harbin Engineering of Technology, Harbin, China; College of Mechanical and electrical Engineering, Harbin Engineering of Technology, Harbin, China","2010 International Conference on Computer, Mechatronics, Control and Electronic Engineering","25 Oct 2010","2010","2","","394","397","A fire fighting cannon is fire-fighting equipment developed for fighting against forest fires; it is considered the tree crown fire and the inaccessible areas which are dangerous for man to get close as extinguishing object. The forest fire fighting cannon is launched by pneumatic method; the timing device within the extinguishing shell will be triggered after launching. After the free-flying and the parachute deceleration phase, the shell will detonate while the temperature in the fire field detected by the temperature sensor arrives at the setting value. The control system of the fire extinguishing cannon was designed firstly, the fly ballistic trajectories were analyzed and calculated, which are involved with the interior ballistic in the process of launching, the exterior ballistics analysis in the state of free-flying with non-parachute and the process of deceleration flight with parachute open. The ballistic calculation provides control with the necessary parameters.","2159-6034","978-1-4244-7958-0","10.1109/CMCE.2010.5609984","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5609984","forest fire fighting cannon;pneumatic launch;ballistics;parachute","Fires;Electromagnetics;Control systems;Analytical models","","1","","4","IEEE","25 Oct 2010","","","IEEE","IEEE Conferences"
"Enhancing Forest Safety: Sensor-Assisted Detection and Prevention of Wildfires","A. Bhoir; G. Ghone; P. Chavhan; V. Khedkar","Computer Engineering Department, Vishwakarma Institute of Information and Technology, Pune, Pune, India; Computer Engineering Department, Vishwakarma Institute of Information and Technology, Pune, Pune, India; Computer Engineering Department, Vishwakarma Institute of Information and Technology, Pune, Pune, India; Symbiosis Institute of Technology, Pune, Pune, India","2024 8th International Conference on Computing, Communication, Control and Automation (ICCUBEA)","10 Dec 2024","2024","","","1","6","This paper presents integrated forest fire detection and prevention system leveraging advanced sensor technologies, satellite monitoring, and UAVs. Data analytics and machine learning enhance accuracy, minimizing false alarms. Efficient communication with emergency services, public awareness campaigns, and community involvement are integral. The system aims to provide early detection, rapid response, and effective mitigation of wildfires, ensuring the safety of ecosystems and human communities. They cost more in India. In this paper we have discussed the effects of forest fires on India’s biodiversity, forest species, climate changes and soil properties along with the different approaches the Indian government has taken to prevent and control forest fires. The forest fires economic impact is estimated to be over INR 1101 crore/year. By observing this we try to put light on this topic.","2771-1358","979-8-3503-9177-0","10.1109/ICCUBEA61740.2024.10774901","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10774901","Forest safety;Wildfire detection;Wildfire prevention;Sensor technologies;Early fire detection;Forest fire management;Real-time monitoring;Smart sensors;Data-driven wildfire prevention;Environmental protection;Ecosystem safety;Forest fire control systems;Risk mitigation strategies;Advanced wildfire technologies","Wildfires;Satellites;Prevention and mitigation;Soil properties;Government;Forestry;Machine learning;Emergency services;Monitoring;Meteorology","","","","25","IEEE","10 Dec 2024","","","IEEE","IEEE Conferences"
"Satellite Image Segmentation for Forest Fire Risk Detection using Gaussian Mixture Models","A. A. Deshmukh; S. D. B. Sonar; R. V. Ingole; R. Agrawal; C. Dhule; N. C. Morris","Department of Data Science, G H Raisoni College of Engineering, Nagpur, India; Department of Data Science, G H Raisoni College of Engineering, Nagpur, India; Department of Data Science, G H Raisoni College of Engineering, Nagpur, India; Department of Data Science, IoT and Cyber Security (DIC), G H Raisoni College of Engineering, Nagpur, India; Department of Data Science, IoT and Cyber Security (DIC), G H Raisoni College of Engineering, Nagpur, India; Department of Data Science, IoT and Cyber Security (DIC), G H Raisoni College of Engineering, Nagpur, India",2023 2nd International Conference on Applied Artificial Intelligence and Computing (ICAAIC),"8 Jun 2023","2023","","","806","811","Forest fires are a major threat to the environment, causing destruction to both wildlife and human habitats. Despite preventative measures, they still contribute significantly to global forest destruction. Previous scientific studies aimed at detecting potential areas and predicting the extent of fires that were already in progress using sophisticated techniques like aerial surveillance and artificial intelligence. However, proposed research introduces a new method that utilizes Gaussian mixture-based image segmentation techniques applied to satellite imagery for forest fire detection. This innovative approach can identify areas at risk of forest fire, enabling early detection and intervention, which can reduce the spread and intensity of fires. With this technique, forest fires can be detected before they become catastrophic, thus minimizing the damage caused by forest fires. By identifying potential areas, forest managers and firefighters can take preventative measures in advance to mitigate the impact of fires.","","978-1-6654-5630-2","10.1109/ICAAIC56838.2023.10140399","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10140399","Forest Fire;Satellite Image;Gaussian Mixture;Image Segmentation;Detection","Image segmentation;Satellites;Image color analysis;Surveillance;Computational modeling;Wildlife;Forestry","","13","","25","IEEE","8 Jun 2023","","","IEEE","IEEE Conferences"
"Mapping of Burnt area and Burnt Severity using Landsat 8 Images: A Case Study of Bandipur forest Fire Region of Karnataka state India","S. Ananth; T. R. Manjula; G. S. Niranjan; S. Kumar; A. Raghuveer; G. Raju","Elecronics and Communication Engineering, SET, Jain University, Bengaluru, India; Elecronics and Communication Engineering, SET, Jain University, Bengaluru, India; Elecronics and Communication Engineering, SET, Jain University, Bengaluru, India; Elecronics and Communication Engineering, SET, Jain University, Bengaluru, India; Elecronics and Communication Engineering, SET, Jain University, Bengaluru, India; Elecronics and Communication Engineering, SET, Jain University, Bengaluru, India","2019 IEEE Recent Advances in Geoscience and Remote Sensing : Technologies, Standards and Applications (TENGARSS)","30 Jan 2020","2019","","","146","147","Addressing frequent forest fire incidents especially in reserved areas such as National parks is very significant to restore the natural habitat for wild life. The post fire burnt area mapping, assessing the burnt severity is very essential for the forest department to take up precautionary measures and plan for vegetation restoration activities. A Forest fire incident was reported in Bandipur National Park, a tiger reserve area on Feb 22nd 2019 and lasted for 4 days till Feb 26th 2019. The study analyses the remote sensing data of Landsat 8, pre and post fire images over Bandipur area to map the burnt area and determine the burnt severity through normalized burn ratio (NBR) and differenced normalized burn ratio (dNBR). Further vegetation regrowth of the affected area of the post fire incident is assessed by Normalized difference vegetation index (NDVI).","","978-1-7281-4072-8","10.1109/TENGARSS48957.2019.8976037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8976037","Forest fire;burnt severity;Bandipur;Landsat 8;NBR;NDVI","","","4","","6","IEEE","30 Jan 2020","","","IEEE","IEEE Conferences"
"IoT-Enabled CNN for Real-Time Forest Fire Detection: Fusing Technology to Safeguard Nature","I. Sharma; S. Neema","Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; Syntelli Solutions Inc., Charlotte, United States",2023 3rd International Conference on Innovative Mechanisms for Industry Applications (ICIMIA),"18 Apr 2024","2023","","","18","23","Effective fire management and prevention strategies are urgently needed because forest fires pose a serious hazard to both ecosystems and human settlements. This research offers a novel framework for detecting forest fires that makes use of Internet of Things (IoT) devices and a Convolutional Neural Network (CNN) model. The framework uses IoT sensors to continuously track environmental variables and collect crucial information for accurate fire detection. The CNN model then carefully processes this data, allowing the system to send out real-time fire detection alarms. The model’s strong learning and generalization skills are confirmed by the system’s performance, which has been thoroughly evaluated via extended training and validation. This has led to noticeably high AUC values for both training and validation datasets. Future directions that include real-world implementation, scalability, and community participation are attentively considered, as are ethical and environmental issues related to the system’s deployment. This framework for detecting forest fires offers a potential route for early fire detection and makes a substantial contribution to the improvement of forest fire management and prevention tactics.","","979-8-3503-4363-2","10.1109/ICIMIA60377.2023.10426400","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10426400","Forest Fire Prediction;Internet of Things (IoT);Environmental Monitoring;Data Privacy;Convolutional Neural Network (CNN)","Training;Adaptation models;Ethics;Forestry;Real-time systems;Internet of Things;Convolutional neural networks","","","","15","IEEE","18 Apr 2024","","","IEEE","IEEE Conferences"
"Forest Fire Detection using WSOA Based Geodesic Distance Encoding Segmentation Model in Smart IoT","V. S. S. D; S. Reddy Avula; S. Niwik; S. Prasad; R. Thatikonda","Department of Master of Computer Applications, Nitte Meenakshi Institute of Technology, Bengaluru, India; Department of Master of Computer Applications, Nitte Meenakshi Institute of Technology, Bengaluru, India; Department of Master of Computer Applications, Nitte Meenakshi Institute of Technology, Bengaluru, India; Department of Master of Computer Applications, Nitte Meenakshi Institute of Technology, Bengaluru, India; Department of Information Technology, University of the Cumberlands, Charlotte, North Carolina",2023 International Conference on Evolutionary Algorithms and Soft Computing Techniques (EASCT),"22 Jan 2024","2023","","","1","8","Forest fires have become a significant worldwide hazard as a result of both global warming and an increase in the number of people. Other negative effects include the greenhouse effect and climate changes. Surprisingly, a disproportionate amount of forest fires have been started by human activity. The secret to managing an unforeseen incident is quick detection with high precision. Conversely, newly proposed CNN-based communicating division algorithms are limited by low talk on photos of forest fires, while traditional communicating division approaches need a large digit of concentration planes. This study offers a innovative deep-rooted knowledge-based segmentation method that achieves excellent results and can identify forest fires using publically accessible data. The research specifically uses a limited number of extra user clicks to process the original segmentation in order to produce an enhanced segmentation that incorporates inner boundary points using the suggested geodesic distance encoding approach. The White Shark Optimisation Algorithm (WSOA) then chooses the weight in the best possible way. The suggested segmentation model outperformed previous methods in terms of accuracy for successfully identifying the forest fire.","","979-8-3503-1341-3","10.1109/EASCT59475.2023.10393032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10393032","Forest Fire Detection;White Shark Optimization Algorithm;Geodesic distance encoding;Inner Boundary Points;Global Warming","Deep learning;Image segmentation;Refining;Forestry;Sharks;Encoding;Data models","","","","23","IEEE","22 Jan 2024","","","IEEE","IEEE Conferences"
"The analysis of the recovery of forest fire based on NDVI and NPP","Changshui Yu; Chunxia Wang; Jiajia Zhang; Xuefang Dai; Lihua Zhang","College of Water Sciences, Beijing Normal University, Beijing, China; College of Science, Inner Mongolia University of Technology, Hohhot, China; College of Science, Inner Mongolia University of Technology, Hohhot, China; College of Science, Inner Mongolia University of Technology, Hohhot, China; Key Laboratory of Remote Sensing and Geographical Information System in Inner Mongolia Autonomous Region, Inner Mongolia Normal University, Hohhot, China",PROCEEDINGS OF 2013 International Conference on Sensor Network Security Technology and Privacy Communication System,"15 Jul 2013","2013","","","148","151","In this paper, we obtained the changing curves of the meteorological elements (temperature, the percentage of sunshine, monthly precipitation) and NDVI of post-fire in Heilongjiang in 1987. Then through the light use efficiency model, we calculated NPP of post-fire in the recovery period by the data of remote sensing satellite and meteorological elements. Finally, we had summarized that the recovery cycle of the vegetation was long after fire based on the analysis of NDVI and NPP. It needed a few years or decades to recover. Specifically, NDVI and NPP significantly increased in the first few years after fire, since then became stable and showed a slow rise tendency.","","978-1-4673-6453-9","10.1109/SNS-PCS.2013.6553854","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6553854","Forest fire;NDVI;The light use efficiency model;NPP","Vegetation mapping;Fires;Remote sensing;Indexes;Productivity;Educational institutions;MODIS","","","","11","IEEE","15 Jul 2013","","","IEEE","IEEE Conferences"
"A convex hull-based approximation of forest fire shape with distributed wireless sensor networks","M. Á. Serna; A. Bermudez; R. Casado; P. Kulakowski","Instituto de Investigación en Informática (I3A), Universidad de Castilla-La Mancha, Albacete, Spain; Instituto de Investigación en Informática (I3A), Universidad de Castilla-La Mancha, Albacete, Spain; Instituto de Investigación en Informática (I3A), Universidad de Castilla-La Mancha, Albacete, Spain; Department of Telecommunications, AGH University of Science and Technology, Krakow, Poland","2011 Seventh International Conference on Intelligent Sensors, Sensor Networks and Information Processing","9 Feb 2012","2011","","","419","424","Monitoring of physical phenomena is one of the most promising application fields of wireless sensor networks. In this work we focus on obtaining the shape of a forest fire. In this kind of applications, the information sensed by network nodes is usually transmitted to a base station located at the border of the network, where it is finally processed. However, such an approach requires that a large amount of data is transmitted through the network. In this paper, we assume that network nodes are able to collaborate in order to obtain an approximation of the forest fire shape without any base station, in a completely distributed way. We propose and analyze two techniques for performing this approximation. The first one makes intensive use of resources, while the second model incorporates an aggregation technique, reducing significantly resource requirements.","","978-1-4577-0674-5","10.1109/ISSNIP.2011.6146533","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6146533","","Fires;Approximation methods;Wireless sensor networks;Proposals;Shape;Computational modeling;Accuracy","","5","","22","IEEE","9 Feb 2012","","","IEEE","IEEE Conferences"
"A multisink-based Continuous Object Tracking in wireless sensor networks by GIS","C. Yang; Q. Li; J. Liu","Wuhan University, Wuhan, China; Wuhan University, Wuhan, China; State Grid Information and Telecommunication Company Limited, Beijing, China",2012 14th International Conference on Advanced Communication Technology (ICACT),"3 Apr 2012","2012","","","7","11","Continuous Object Tracking (COT) is an important application in wireless sensor networks (WSNs) for smart grid, e.g. detecting forest fire, monitoring mudrock flow phenomena etc. The early warning can effectively reduce the impact of geological disasters for the power system. However, due to the constrained resource of WSN, it is a challenging issue to monitor phenomena in real time for excessive amount of message exchanges between sensors and the sink. In this paper, we propose a novel multisink architecture which consists of a static sink and a mobile sink guided by Geographic Information System (GIS). The two sinks can cooperatively work in an intelligent model in which the mobile sink can calculate the right position to collect the information from boundary nodes; in which the static one can reduce much message transmission as well as energy consumption based on centroid algorithm. Meanwhile, we present a novel algorithm which can track the object more accurately. The simulation result shows that our architecture can distinctly prolong the network life time than single sink network in continuous object tracking.","1738-9445","978-89-5519-163-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6174597","continuous object tracking;smart grid;wireless sensor network;GIS","Mobile communication;Wireless sensor networks;Monitoring;Mobile computing;Sensor phenomena and characterization;Energy consumption","","2","","15","","3 Apr 2012","","","IEEE","IEEE Conferences"
"A UAV with Autonomy, Pattern Recognition for Forest Fire Prevention, and AI for Providing Advice to Firefighters Fighting Forest Fires","E. A. Yfantis","Department of Computer Science, University of Nevada, Las Vegas, Las Vegas, NV, USA",2019 IEEE 9th Annual Computing and Communication Workshop and Conference (CCWC),"14 Mar 2019","2019","","","0409","0413","The design of a long endurance UAV powered by solar energy, with autonomy flying over a pre specified forest area equipped with LiDAR which includes R, G, B and Infrared or near infrared bands to take clear and detail video of every part of the forest in order to recognize legal or illegal camp fires, dry areas providing hazardous conditions, upload temperature, humidity and other ground sensor data, helping to characterize the degree of forest fire vulnerability using pattern recognition, and communicating this information to firefighters either upon request, or as alarm events. The airplane electronic hardware software uses computational photography and virtual reality to create a detail 3-D forest video real time. It communicates all this information to a ground station real time. Although the aircraft has autonomy, trained pilots in the ground station can override the autonomy and fly the aircraft. In case of forest fire the aircraft electronic hardware software system can compute the exact area affected, the fire velocity and speed, the wind direction, and provide advice to the firefighters regarding the optimal way of fighting the fire. Often time forest fires destroy the communication infrastructure, so the airplane has a router to enable firefighters to exchange, text and voice information.","","978-1-7281-0554-3","10.1109/CCWC.2019.8666471","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8666471","Wing Loading;Power Loading;Propellers;Electric Motors;PCB design;Neural Networks;Sensor Networks;Secure Wireless Communications","Airplanes;Aerospace electronics;Fires;Forestry;Propellers;Laser radar","","10","","9","IEEE","14 Mar 2019","","","IEEE","IEEE Conferences"
"Reflection Measurement of Fire Over Microwave Band: A Promising Active Method for Forest Fire Detection","S. Masoumi; T. C. Baum; A. Ebrahimi; W. S. T. Rowe; K. Ghorbani","School of Engineering, Royal Melbourne Institute of Technology (RMIT) University, Melbourne, VIC, Australia; School of Engineering, Royal Melbourne Institute of Technology (RMIT) University, Melbourne, VIC, Australia; School of Engineering, Royal Melbourne Institute of Technology (RMIT) University, Melbourne, VIC, Australia; School of Engineering, Royal Melbourne Institute of Technology (RMIT) University, Melbourne, VIC, Australia; School of Engineering, Royal Melbourne Institute of Technology (RMIT) University, Melbourne, VIC, Australia",IEEE Sensors Journal,"7 Jan 2021","2021","21","3","2891","2898","This work presents a technique to detect forest fire using incoherent scattering of radio waves from the ionized electron cloud of combusting plant material. Superheated forest matter ionizes a certain amount of the Alkali salt in plants creating a natural plasma frequency. This work investigates this plasma using a calibrated transmission line to identify the electromagnetic plasma frequency of forest fire. A plasma frequency of approximately 500 MHz has been identified by burning 4 grams and 6 grams of dry Eucalypt leaves. The plasma frequency was found to be stable as long as the biomass density is constant.","1558-1748","","10.1109/JSEN.2020.3025593","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201501","Electromagnetic wave scattering;fire;ionization;plasma frequency","Fires;Forestry;Sensors;Plasma temperature;Ionization;Biomass","","7","","63","IEEE","21 Sep 2020","","","IEEE","IEEE Journals"
"A Machine Learning-Based Early Forest Fire Detection System Utilizing Vision and Sensors’ Fusion Technologies","A. Khalifeh; A. Nassar; M. M. AlAjlouni; A. AlNabelsi; Z. Alrawashdeh; B. Hejazi; R. Alwardat; J. Lima","German Jordanian University, Amman, Jordan; German Jordanian University, Amman, Jordan; Jordan Design and Development Bureau(JODDB), Amman, Jordan; German Jordanian University, Amman, Jordan; German Jordanian University, Amman, Jordan; German Jordanian University, Amman, Jordan; Jordan Design and Development Bureau(JODDB), Amman, Jordan; Research Centre in Digitalization and Intelligent Robotics, Instituto Politécnico de Bragança Bragança, Portugal",2022 4th IEEE Middle East and North Africa COMMunications Conference (MENACOMM),"2 Jan 2023","2022","","","229","234","The paper aims at utilizing machine learning (ML) towards designing an early warning forest fire detection system. With the aid of the Internet of Things (IoT) and smart edge computing, an embedded system that utilizes sensors’ fusion technology, machine vision and ML to early detect forest fire has been proposed. Different from most of the proposed fire detection systems in the literature, which either utilize vision or sensors’-based approaches to detect the fire, the proposed system utilizes both approaches jointly, which in turn will make it more accurate for fire detection. Furthermore, this paper focuses on implementing the proposed system utilizing a smart edge node and discusses the incurred technical challenges and how they have been solved.","","978-1-6654-9411-3","10.1109/MENACOMM57252.2022.9998196","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9998196","","Embedded systems;Machine vision;Image edge detection;Forestry;Machine learning;Africa;Internet of Things","","3","","13","IEEE","2 Jan 2023","","","IEEE","IEEE Conferences"
"Remote modification of sensor mote design for next-generation Wireless Sensor Networks","A. E. Kateeb",University of Michigan-Dearborn,IEEE International Conference on Wireless for Space and Extreme Environments,"13 Feb 2014","2013","","","1","6","Many Wireless Sensor Networks (WSNs) applications are new and their requirements may not be fully anticipated during the sensor networks design and development stage. We are presenting a sensor network infrastructure that support motes' with remote hardware and software modification to match the target applications need. Using the proposed infrastructure in next-generation WSNs will produce flexible infrastructures that will provide over-the-air remote design modification even after the deployment of WSNs on the sensing field. In this paper, we are presenting the design concept and challenges of such infrastructure. Also, we present the use of the infrastructure in one possible environmental monitoring application such as forest fire. The development of such infrastructure will have an impact on advances the research on the real-time remote sensing, heterogeneous WSN, and WSNs applications.","","978-1-4799-2958-0","10.1109/WiSEE.2013.6737558","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6737558","WSN;Mote design;FPGA","Wireless sensor networks;Field programmable gate arrays;Hardware;Fires;Batteries;Wireless communication;Humidity","","","","9","IEEE","13 Feb 2014","","","IEEE","IEEE Conferences"
"Taking Sensor Networks from the Lab to the Jungle","A. S. Tanenbaum; C. Gamage; B. Crispo","Vrije Universiteit Amsterdam, Netherlands; Vrije Universiteit Amsterdam, Netherlands; Vrije Universiteit Amsterdam, Netherlands",Computer,"14 Aug 2006","2006","39","8","98","100","Sensor networks pose unique technical and logistical challenges. One of the most widely cited applications for sensor networks is monitoring national borders for humans attempting to surreptitiously cross on foot, especially at night. Other suggested applications of sensor networks include battlefield observation and forest fire detection","1558-0814","","10.1109/MC.2006.280","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1673344","invisible computing;wireless sensor networks;security","Monitoring;Costs;Unmanned aerial vehicles;Fires;Event detection;Sensor systems;Intrusion detection;Cryptography;Ad hoc networks;Personnel","","52","","","IEEE","14 Aug 2006","","","IEEE","IEEE Magazines"
"Energy-efficient Fire Monitoring using ubiquitous sensor network","Heemin Kim; Lengieng Ing; Young-guk Ha","Department of Computer Engineering, Konkuk University, Seoul, South Korea; Department of Computer Engineering, Konkuk University, Seoul, South Korea; Department of Computer Engineering, Konkuk University, Seoul, South Korea",2011 8th International Conference on Ubiquitous Robots and Ambient Intelligence (URAI),"6 Feb 2012","2011","","","205","208","Natural disasters such as forest fire caused by global warming, environmental issues and abnormal climate changes are abruptly threatening the earth every day. Many countries around the globe are looking for ways to fight against the forest fire at early stage using ubiquitous sensor network together with IT technologies. Thus, this study forms multi-layer cluster hierarchy dynamically according to the direction of fire spreading on cluster-based network hierarchy appropriate for Fire-Monitoring, and proposes a method of energy-efficient routing that can reduce energy consumption by the entire ubiquitous sensor network by performing efficient transmission of fire data.","","978-1-4577-0723-0","10.1109/URAI.2011.6145962","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6145962","Energy-Efficient routing;Fire Monitoring;Clustering;Ubiquitous sensor network","Fires;Energy efficiency;Wireless sensor networks;Monitoring;Routing;Energy consumption;Temperature sensors","","1","","7","IEEE","6 Feb 2012","","","IEEE","IEEE Conferences"
